Từ tiếng Việt,Sắc thái/Nhóm,Nghĩa tiếng Anh
mất vững mạnh,Tiêu cực,Lost strong/healthy
mất an toàn,Tiêu cực,Lost safe/secure
mất bền vững,Tiêu cực,Lost sustainable
mất đột phá,Tiêu cực,Lost breakthrough
mất uy tín,Tiêu cực,Lost reputable
mất niềm tin,Tiêu cực,Lost trust/confidence
mất tiên phong,Tiêu cực,Lost pioneering/advanced
mất hiện đại,Tiêu cực,Lost modern
mất tinh gọn,Tiêu cực,Lost lean
mất chuyên nghiệp,Tiêu cực,Lost professional
mất minh bạch,Tiêu cực,Lost transparent
mất quyết tâm,Tiêu cực,Lost determined
mất năng động,Tiêu cực,Lost dynamic
mất tự hào,Tiêu cực,Lost proud
mất nhiệt huyết,Tiêu cực,Lost passionate
mất yêu thích,Tiêu cực,Lost love/like
mất hài lòng,Tiêu cực,Lost satisfied
mất vui sướng,Tiêu cực,Lost joyful/delighted
mất hạnh phúc,Tiêu cực,Lost happy
mất tin tưởng,Tiêu cực,Lost trustful
mất ngưỡng mộ,Tiêu cực,Lost admire
mất cảm kích,Tiêu cực,Lost grateful
mất lạc quan,Tiêu cực,Lost optimistic
mất an tâm,Tiêu cực,Lost reassured
mất thân thiện,Tiêu cực,Lost friendly
mất mến khách,Tiêu cực,Lost hospitable
mất hào hứng,Tiêu cực,Lost excited
mất phấn khởi,Tiêu cực,Lost elated
mất may mắn,Tiêu cực,Lost lucky/fortunate
mất vinh dự,Tiêu cực,Lost honored
mất tuyệt vời,Tiêu cực,Lost wonderful/excellent
mất xuất sắc,Tiêu cực,Lost outstanding
mất hoàn hảo,Tiêu cực,Lost perfect
mất thỏa mãn,Tiêu cực,Lost contented/satisfied
mất yêu mến,Tiêu cực,Lost beloved
mất trân trọng,Tiêu cực,Lost appreciative
mất kính trọng,Tiêu cực,Lost respectful
mất khâm phục,Tiêu cực,Lost admirable
mất ấm áp,Tiêu cực,Lost warm
mất bình yên,Tiêu cực,Lost peaceful
mất vui vẻ,Tiêu cực,Lost cheerful
mất ngập tràn niềm vui,Tiêu cực,Lost joyous
mất khấp khởi,Tiêu cực,Lost expectantly joyful
mất hân hoan,Tiêu cực,Lost jubilant
mất rạng rỡ,Tiêu cực,Lost radiant
mất sáng tạo,Tiêu cực,Lost creative
mất đổi mới,Tiêu cực,Lost innovative
mất kiên trì,Tiêu cực,Lost persistent
mất bền bỉ,Tiêu cực,Lost resilient
mất quyết liệt,Tiêu cực,Lost drastic/fierce
mất chủ động,Tiêu cực,Lost proactive
mất tự xin,Tiêu cực,Lost confident
mất tự tin,Tiêu cực,Lost confident
mất dũng cảm,Tiêu cực,Lost brave/courageous
mất kiên cường,Tiêu cực,Lost indomitable
mất nỗ lực,Tiêu cực,Lost effort/striving
mất cố gắng,Tiêu cực,Lost trying/endeavoring
mất hết mình,Tiêu cực,Lost wholehearted
mất tận tâm,Tiêu cực,Lost dedicated
mất chu đáo,Tiêu cực,Lost thoughtful/attentive
mất sẵn sàng,Tiêu cực,Lost ready/willing
mất hăng hái,Tiêu cực,Lost enthusiastic
mất sôi nổi,Tiêu cực,Lost lively/vibrant
mất tự lực,Tiêu cực,Lost self-reliant
mất bứt phá,Tiêu cực,Lost breaking through
mất kiên định,Tiêu cực,Lost steadfast
mất tràn đầy năng lượng,Tiêu cực,Lost energetic
mất sục sôi,Tiêu cực,Lost seething/burning
mất đồng lòng,Tiêu cực,Lost unanimous
mất nhất trí,Tiêu cực,Lost agreed/consensus
mất chung sức,Tiêu cực,Lost joining forces
mất vượt trội,Tiêu cực,Lost superior
mất tối ưu,Tiêu cực,Lost optimal
mất bứt tốc,Tiêu cực,Lost accelerating
mất thuận lợi,Tiêu cực,Lost favorable
mất tiềm năng,Tiêu cực,Lost potential
mất phồn vinh,Tiêu cực,Lost prosperous
mất thịnh vượng,Tiêu cực,Lost wealthy/prosperous
mất khởi sắc,Tiêu cực,Lost flourishing/improving
mất thăng tiến,Tiêu cực,Lost advancing
mất phát triển,Tiêu cực,Lost developing
mất mở rộng,Tiêu cực,Lost expanding
mất vững chắc,Tiêu cực,Lost solid/firm
mất chính xác,Tiêu cực,Lost accurate
mất nhanh chóng,Tiêu cực,Lost rapid/quick
mất kịp thời,Tiêu cực,Lost timely
mất nhạy bén,Tiêu cực,Lost sharp/agile
hiệu quả quá,Tích cực/Nhấn mạnh,Effective too much / extremely
hiệu quả lắm,Tích cực/Nhấn mạnh,Effective very much
hiệu quả cực kỳ,Tích cực/Nhấn mạnh,Effective extremely
phù hợp quá,Tích cực/Nhấn mạnh,Suitable too much / extremely
phù hợp lắm,Tích cực/Nhấn mạnh,Suitable very much
phù hợp cực kỳ,Tích cực/Nhấn mạnh,Suitable extremely
chất lượng cao quá,Tích cực/Nhấn mạnh,High quality too much / extremely
chất lượng cao lắm,Tích cực/Nhấn mạnh,High quality very much
chất lượng cao cực kỳ,Tích cực/Nhấn mạnh,High quality extremely
dẫn đầu quá,Tích cực/Nhấn mạnh,Leading too much / extremely
dẫn đầu lắm,Tích cực/Nhấn mạnh,Leading very much
dẫn đầu cực kỳ,Tích cực/Nhấn mạnh,Leading extremely
linh hoạt quá,Tích cực/Nhấn mạnh,Flexible too much / extremely
linh hoạt lắm,Tích cực/Nhấn mạnh,Flexible very much
linh hoạt cực kỳ,Tích cực/Nhấn mạnh,Flexible extremely
chủ lực quá,Tích cực/Nhấn mạnh,Core/pillar too much / extremely
chủ lực lắm,Tích cực/Nhấn mạnh,Core/pillar very much
chủ lực cực kỳ,Tích cực/Nhấn mạnh,Core/pillar extremely
vững mạnh quá,Tích cực/Nhấn mạnh,Strong/healthy too much / extremely
vững mạnh lắm,Tích cực/Nhấn mạnh,Strong/healthy very much
vững mạnh cực kỳ,Tích cực/Nhấn mạnh,Strong/healthy extremely
an toàn quá,Tích cực/Nhấn mạnh,Safe/secure too much / extremely
an toàn lắm,Tích cực/Nhấn mạnh,Safe/secure very much
an toàn cực kỳ,Tích cực/Nhấn mạnh,Safe/secure extremely
bền vững quá,Tích cực/Nhấn mạnh,Sustainable too much / extremely
bền vững lắm,Tích cực/Nhấn mạnh,Sustainable very much
bền vững cực kỳ,Tích cực/Nhấn mạnh,Sustainable extremely
đột phá quá,Tích cực/Nhấn mạnh,Breakthrough too much / extremely
đột phá lắm,Tích cực/Nhấn mạnh,Breakthrough very much
đột phá cực kỳ,Tích cực/Nhấn mạnh,Breakthrough extremely
uy tín quá,Tích cực/Nhấn mạnh,Reputable too much / extremely
uy tín lắm,Tích cực/Nhấn mạnh,Reputable very much
uy tín cực kỳ,Tích cực/Nhấn mạnh,Reputable extremely
niềm tin quá,Tích cực/Nhấn mạnh,Trust/confidence too much / extremely
niềm tin lắm,Tích cực/Nhấn mạnh,Trust/confidence very much
niềm tin cực kỳ,Tích cực/Nhấn mạnh,Trust/confidence extremely
tiên phong quá,Tích cực/Nhấn mạnh,Pioneering/advanced too much / extremely
tiên phong lắm,Tích cực/Nhấn mạnh,Pioneering/advanced very much
tiên phong cực kỳ,Tích cực/Nhấn mạnh,Pioneering/advanced extremely
hiện đại quá,Tích cực/Nhấn mạnh,Modern too much / extremely
hiện đại lắm,Tích cực/Nhấn mạnh,Modern very much
hiện đại cực kỳ,Tích cực/Nhấn mạnh,Modern extremely
tinh gọn quá,Tích cực/Nhấn mạnh,Lean too much / extremely
tinh gọn lắm,Tích cực/Nhấn mạnh,Lean very much
tinh gọn cực kỳ,Tích cực/Nhấn mạnh,Lean extremely
chuyên nghiệp quá,Tích cực/Nhấn mạnh,Professional too much / extremely
chuyên nghiệp lắm,Tích cực/Nhấn mạnh,Professional very much
chuyên nghiệp cực kỳ,Tích cực/Nhấn mạnh,Professional extremely
minh bạch quá,Tích cực/Nhấn mạnh,Transparent too much / extremely
minh bạch lắm,Tích cực/Nhấn mạnh,Transparent very much
minh bạch cực kỳ,Tích cực/Nhấn mạnh,Transparent extremely
quyết tâm quá,Tích cực/Nhấn mạnh,Determined too much / extremely
quyết tâm lắm,Tích cực/Nhấn mạnh,Determined very much
quyết tâm cực kỳ,Tích cực/Nhấn mạnh,Determined extremely
năng động quá,Tích cực/Nhấn mạnh,Dynamic too much / extremely
năng động lắm,Tích cực/Nhấn mạnh,Dynamic very much
năng động cực kỳ,Tích cực/Nhấn mạnh,Dynamic extremely
tự hào quá,Tích cực/Nhấn mạnh,Proud too much / extremely
tự hào lắm,Tích cực/Nhấn mạnh,Proud very much
tự hào cực kỳ,Tích cực/Nhấn mạnh,Proud extremely
nhiệt huyết quá,Tích cực/Nhấn mạnh,Passionate too much / extremely
nhiệt huyết lắm,Tích cực/Nhấn mạnh,Passionate very much
nhiệt huyết cực kỳ,Tích cực/Nhấn mạnh,Passionate extremely
yêu thích quá,Tích cực/Nhấn mạnh,Love/Like too much / extremely
yêu thích lắm,Tích cực/Nhấn mạnh,Love/Like very much
yêu thích cực kỳ,Tích cực/Nhấn mạnh,Love/Like extremely
hài lòng quá,Tích cực/Nhấn mạnh,Satisfied too much / extremely
hài lòng lắm,Tích cực/Nhấn mạnh,Satisfied very much
hài lòng cực kỳ,Tích cực/Nhấn mạnh,Satisfied extremely
vui sướng quá,Tích cực/Nhấn mạnh,Joyful/Delighted too much / extremely
vui sướng lắm,Tích cực/Nhấn mạnh,Joyful/Delighted very much
vui sướng cực kỳ,Tích cực/Nhấn mạnh,Joyful/Delighted extremely
hạnh phúc quá,Tích cực/Nhấn mạnh,Happy too much / extremely
hạnh phúc lắm,Tích cực/Nhấn mạnh,Happy very much
hạnh phúc cực kỳ,Tích cực/Nhấn mạnh,Happy extremely
tin tưởng quá,Tích cực/Nhấn mạnh,Trustful too much / extremely
tin tưởng lắm,Tích cực/Nhấn mạnh,Trustful very much
tin tưởng cực kỳ,Tích cực/Nhấn mạnh,Trustful extremely
ngưỡng mộ quá,Tích cực/Nhấn mạnh,Admire too much / extremely
ngưỡng mộ lắm,Tích cực/Nhấn mạnh,Admire very much
ngưỡng mộ cực kỳ,Tích cực/Nhấn mạnh,Admire extremely
cảm kích quá,Tích cực/Nhấn mạnh,Grateful too much / extremely
cảm kích lắm,Tích cực/Nhấn mạnh,Grateful very much
cảm kích cực kỳ,Tích cực/Nhấn mạnh,Grateful extremely
lạc quan quá,Tích cực/Nhấn mạnh,Optimistic too much / extremely
lạc quan lắm,Tích cực/Nhấn mạnh,Optimistic very much
lạc quan cực kỳ,Tích cực/Nhấn mạnh,Optimistic extremely
an tâm quá,Tích cực/Nhấn mạnh,Reassured too much / extremely
an tâm lắm,Tích cực/Nhấn mạnh,Reassured very much
an tâm cực kỳ,Tích cực/Nhấn mạnh,Reassured extremely
thân thiện quá,Tích cực/Nhấn mạnh,Friendly too much / extremely
thân thiện lắm,Tích cực/Nhấn mạnh,Friendly very much
thân thiện cực kỳ,Tích cực/Nhấn mạnh,Friendly extremely
mến khách quá,Tích cực/Nhấn mạnh,Hospitable too much / extremely
mến khách lắm,Tích cực/Nhấn mạnh,Hospitable very much
mến khách cực kỳ,Tích cực/Nhấn mạnh,Hospitable extremely
hào hứng quá,Tích cực/Nhấn mạnh,Excited too much / extremely
hào hứng lắm,Tích cực/Nhấn mạnh,Excited very much
hào hứng cực kỳ,Tích cực/Nhấn mạnh,Excited extremely
phấn khởi quá,Tích cực/Nhấn mạnh,Elated too much / extremely
phấn khởi lắm,Tích cực/Nhấn mạnh,Elated very much
phấn khởi cực kỳ,Tích cực/Nhấn mạnh,Elated extremely
may mắn quá,Tích cực/Nhấn mạnh,Lucky/Fortunate too much / extremely
may mắn lắm,Tích cực/Nhấn mạnh,Lucky/Fortunate very much
may mắn cực kỳ,Tích cực/Nhấn mạnh,Lucky/Fortunate extremely
vinh dự quá,Tích cực/Nhấn mạnh,Honored too much / extremely
vinh dự lắm,Tích cực/Nhấn mạnh,Honored very much
vinh dự cực kỳ,Tích cực/Nhấn mạnh,Honored extremely
tuyệt vời quá,Tích cực/Nhấn mạnh,Wonderful/Excellent too much / extremely
tuyệt vời lắm,Tích cực/Nhấn mạnh,Wonderful/Excellent very much
tuyệt vời cực kỳ,Tích cực/Nhấn mạnh,Wonderful/Excellent extremely
xuất sắc quá,Tích cực/Nhấn mạnh,Outstanding too much / extremely
xuất sắc lắm,Tích cực/Nhấn mạnh,Outstanding very much
xuất sắc cực kỳ,Tích cực/Nhấn mạnh,Outstanding extremely
hoàn hảo quá,Tích cực/Nhấn mạnh,Perfect too much / extremely
hoàn hảo lắm,Tích cực/Nhấn mạnh,Perfect very much
hoàn hảo cực kỳ,Tích cực/Nhấn mạnh,Perfect extremely
thỏa mãn quá,Tích cực/Nhấn mạnh,Contented/Satisfied too much / extremely
thỏa mãn lắm,Tích cực/Nhấn mạnh,Contented/Satisfied very much
thỏa mãn cực kỳ,Tích cực/Nhấn mạnh,Contented/Satisfied extremely
yêu mến quá,Tích cực/Nhấn mạnh,Beloved too much / extremely
yêu mến lắm,Tích cực/Nhấn mạnh,Beloved very much
yêu mến cực kỳ,Tích cực/Nhấn mạnh,Beloved extremely
trân trọng quá,Tích cực/Nhấn mạnh,Appreciative too much / extremely
trân trọng lắm,Tích cực/Nhấn mạnh,Appreciative very much
trân trọng cực kỳ,Tích cực/Nhấn mạnh,Appreciative extremely
kính trọng quá,Tích cực/Nhấn mạnh,Respectful too much / extremely
kính trọng lắm,Tích cực/Nhấn mạnh,Respectful very much
kính trọng cực kỳ,Tích cực/Nhấn mạnh,Respectful extremely
khâm phục quá,Tích cực/Nhấn mạnh,Admirable too much / extremely
khâm phục lắm,Tích cực/Nhấn mạnh,Admirable very much
khâm phục cực kỳ,Tích cực/Nhấn mạnh,Admirable extremely
ấm áp quá,Tích cực/Nhấn mạnh,Warm too much / extremely
ấm áp lắm,Tích cực/Nhấn mạnh,Warm very much
ấm áp cực kỳ,Tích cực/Nhấn mạnh,Warm extremely
bình yên quá,Tích cực/Nhấn mạnh,Peaceful too much / extremely
bình yên lắm,Tích cực/Nhấn mạnh,Peaceful very much
bình yên cực kỳ,Tích cực/Nhấn mạnh,Peaceful extremely
vui vẻ quá,Tích cực/Nhấn mạnh,Cheerful too much / extremely
vui vẻ lắm,Tích cực/Nhấn mạnh,Cheerful very much
vui vẻ cực kỳ,Tích cực/Nhấn mạnh,Cheerful extremely
ngập tràn niềm vui quá,Tích cực/Nhấn mạnh,Joyous too much / extremely
ngập tràn niềm vui lắm,Tích cực/Nhấn mạnh,Joyous very much
ngập tràn niềm vui cực kỳ,Tích cực/Nhấn mạnh,Joyous extremely
khấp khởi quá,Tích cực/Nhấn mạnh,Expectantly joyful too much / extremely
khấp khởi lắm,Tích cực/Nhấn mạnh,Expectantly joyful very much
khấp khởi cực kỳ,Tích cực/Nhấn mạnh,Expectantly joyful extremely
hân hoan quá,Tích cực/Nhấn mạnh,Jubilant too much / extremely
hân hoan lắm,Tích cực/Nhấn mạnh,Jubilant very much
hân hoan cực kỳ,Tích cực/Nhấn mạnh,Jubilant extremely
rạng rỡ quá,Tích cực/Nhấn mạnh,Radiant too much / extremely
rạng rỡ lắm,Tích cực/Nhấn mạnh,Radiant very much
rạng rỡ cực kỳ,Tích cực/Nhấn mạnh,Radiant extremely
sáng tạo quá,Tích cực/Nhấn mạnh,Creative too much / extremely
sáng tạo lắm,Tích cực/Nhấn mạnh,Creative very much
sáng tạo cực kỳ,Tích cực/Nhấn mạnh,Creative extremely
đổi mới quá,Tích cực/Nhấn mạnh,Innovative too much / extremely
đổi mới lắm,Tích cực/Nhấn mạnh,Innovative very much
đổi mới cực kỳ,Tích cực/Nhấn mạnh,Innovative extremely
kiên trì quá,Tích cực/Nhấn mạnh,Persistent too much / extremely
kiên trì lắm,Tích cực/Nhấn mạnh,Persistent very much
kiên trì cực kỳ,Tích cực/Nhấn mạnh,Persistent extremely
bền bỉ quá,Tích cực/Nhấn mạnh,Resilient too much / extremely
bền bỉ lắm,Tích cực/Nhấn mạnh,Resilient very much
bền bỉ cực kỳ,Tích cực/Nhấn mạnh,Resilient extremely
quyết liệt quá,Tích cực/Nhấn mạnh,Drastic/Fierce too much / extremely
quyết liệt lắm,Tích cực/Nhấn mạnh,Drastic/Fierce very much
quyết liệt cực kỳ,Tích cực/Nhấn mạnh,Drastic/Fierce extremely
chủ động quá,Tích cực/Nhấn mạnh,Proactive too much / extremely
chủ động lắm,Tích cực/Nhấn mạnh,Proactive very much
chủ động cực kỳ,Tích cực/Nhấn mạnh,Proactive extremely
tự xin quá,Tích cực/Nhấn mạnh,Confident too much / extremely
tự xin lắm,Tích cực/Nhấn mạnh,Confident very much
tự xin cực kỳ,Tích cực/Nhấn mạnh,Confident extremely
tự tin quá,Tích cực/Nhấn mạnh,Confident too much / extremely
tự tin lắm,Tích cực/Nhấn mạnh,Confident very much
tự tin cực kỳ,Tích cực/Nhấn mạnh,Confident extremely
dũng cảm quá,Tích cực/Nhấn mạnh,Brave/Courageous too much / extremely
dũng cảm lắm,Tích cực/Nhấn mạnh,Brave/Courageous very much
dũng cảm cực kỳ,Tích cực/Nhấn mạnh,Brave/Courageous extremely
kiên cường quá,Tích cực/Nhấn mạnh,Indomitable too much / extremely
kiên cường lắm,Tích cực/Nhấn mạnh,Indomitable very much
kiên cường cực kỳ,Tích cực/Nhấn mạnh,Indomitable extremely
nỗ lực quá,Tích cực/Nhấn mạnh,Effort/Striving too much / extremely
nỗ lực lắm,Tích cực/Nhấn mạnh,Effort/Striving very much
nỗ lực cực kỳ,Tích cực/Nhấn mạnh,Effort/Striving extremely
cố gắng quá,Tích cực/Nhấn mạnh,Trying/Endeavoring too much / extremely
